Identifier,ARN,Resource type,Region,AWS Account,LastReportedAt,Service,Tags,Tag:aws:ecs:serviceName,Tag:aws:ecs:clusterName,Tag:Name
eni-042b702ae6618a527,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-042b702ae6618a527,ec2:network-interface,us-east-1,480699501737,2023-12-15T01:37:49Z,ec2,2,grafana-fargate-service,grafana-fargate-cluster,(not tagged)
albatross-stage-cluster/3839fc8c46514beaba32e07b8d327b1d,arn:aws:ecs:us-east-1:480699501737:task/albatross-stage-cluster/3839fc8c46514beaba32e07b8d327b1d,ecs:task,us-east-1,480699501737,2023-12-14T21:35:49Z,ecs,2,brs-portal-web-stage,albatross-stage-cluster,(not tagged)
albatross-prod-cluster/3dfd998dddc64cd483d95282e3f9eb96,arn:aws:ecs:us-east-1:480699501737:task/albatross-prod-cluster/3dfd998dddc64cd483d95282e3f9eb96,ecs:task,us-east-1,480699501737,2023-12-13T07:12:08Z,ecs,2,albatross-prod-service,albatross-prod-cluster,(not tagged)
albatross-stage-cluster/145c9d9119664139a4efad0756380290,arn:aws:ecs:us-east-1:480699501737:task/albatross-stage-cluster/145c9d9119664139a4efad0756380290,ecs:task,us-east-1,480699501737,2023-12-15T01:08:14Z,ecs,2,albatross-stage-service,albatross-stage-cluster,(not tagged)
eni-02d450cf0e7fab104,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-02d450cf0e7fab104,ec2:network-interface,us-east-1,480699501737,2023-12-08T06:56:11Z,ec2,2,albatross-uat-cron-service,albatross-uat-cluster,(not tagged)
eni-0871d5f5a2a8a1eba,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0871d5f5a2a8a1eba,ec2:network-interface,us-east-1,480699501737,2023-12-15T01:11:44Z,ec2,2,grafana-fargate-service,grafana-fargate-cluster,(not tagged)
i-00add38879beb81ac,arn:aws:ec2:us-east-1:480699501737:instance/i-00add38879beb81ac,ec2:instance,us-east-1,480699501737,2023-12-14T22:21:46Z,ec2,1,(not tagged),(not tagged),meltano
eni-0e21a8cd29b374c5a,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0e21a8cd29b374c5a,ec2:network-interface,us-east-1,480699501737,2023-12-12T14:00:01Z,ec2,2,albatross-non-prod-imgproxy,albatross-imgproxy-cluster,(not tagged)
albatross-stage-cluster/f8dc023a866c439e832f9c817c0c635f,arn:aws:ecs:us-east-1:480699501737:task/albatross-stage-cluster/f8dc023a866c439e832f9c817c0c635f,ecs:task,us-east-1,480699501737,2023-12-15T01:08:15Z,ecs,2,albatross-stage-cron-service,albatross-stage-cluster,(not tagged)
albatross-uat-cluster/7ef15a9c218f421cabbfa89fc012fe31,arn:aws:ecs:us-east-1:480699501737:task/albatross-uat-cluster/7ef15a9c218f421cabbfa89fc012fe31,ecs:task,us-east-1,480699501737,2023-12-11T22:54:01Z,ecs,2,brs-epc-api-uat,albatross-uat-cluster,(not tagged)
eni-0525eab851d0e5f79,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0525eab851d0e5f79,ec2:network-interface,us-east-1,480699501737,2023-12-15T01:08:18Z,ec2,2,albatross-stage-cron-service,albatross-stage-cluster,(not tagged)
albatross-html2pdf-cluster/75503c10a1e146c29ed946fc88ee30be,arn:aws:ecs:us-east-1:480699501737:task/albatross-html2pdf-cluster/75503c10a1e146c29ed946fc88ee30be,ecs:task,us-east-1,480699501737,2023-12-13T19:25:36Z,ecs,2,albatross-non-prod-html2pdf,albatross-html2pdf-cluster,(not tagged)
eni-08fdffe630b3f7a4e,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-08fdffe630b3f7a4e,ec2:network-interface,us-east-1,480699501737,2023-12-13T03:47:57Z,ec2,2,albatross-prod-cron-service,albatross-prod-cluster,(not tagged)
albatross-flux-cluster/fb4861f2144e4c49b479ecba7e7160b0,arn:aws:ecs:us-east-1:480699501737:task/albatross-flux-cluster/fb4861f2144e4c49b479ecba7e7160b0,ecs:task,us-east-1,480699501737,2023-11-30T21:35:15Z,ecs,2,albatross-flux-service,albatross-flux-cluster,(not tagged)
grafana-fargate-cluster/36834dec27c7458d906b7bf3381c4c08,arn:aws:ecs:us-east-1:480699501737:task/grafana-fargate-cluster/36834dec27c7458d906b7bf3381c4c08,ecs:task,us-east-1,480699501737,2023-12-15T01:37:45Z,ecs,2,grafana-fargate-service,grafana-fargate-cluster,(not tagged)
eni-0135214154c3b9efb,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0135214154c3b9efb,ec2:network-interface,us-east-1,480699501737,2023-12-15T01:08:17Z,ec2,2,albatross-stage-service,albatross-stage-cluster,(not tagged)
albatross-prod-cluster/5a436ddd0d1f46b4bd1887a5f5800ce4,arn:aws:ecs:us-east-1:480699501737:task/albatross-prod-cluster/5a436ddd0d1f46b4bd1887a5f5800ce4,ecs:task,us-east-1,480699501737,2023-12-13T08:03:40Z,ecs,2,albatross-prod-service,albatross-prod-cluster,(not tagged)
albatross-uat-cluster/862452e6b4de4515b969c547dcdbb70b,arn:aws:ecs:us-east-1:480699501737:task/albatross-uat-cluster/862452e6b4de4515b969c547dcdbb70b,ecs:task,us-east-1,480699501737,2023-12-08T10:01:12Z,ecs,2,albatross-uat-cron-service,albatross-uat-cluster,(not tagged)
eni-05ebe2685ffd65a91,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-05ebe2685ffd65a91,ec2:network-interface,us-east-1,480699501737,2023-12-08T06:56:21Z,ec2,2,albatross-uat-service,albatross-uat-cluster,(not tagged)
awsrds-blueraven-prod-pg-High-CPU-Utilization,arn:aws:cloudwatch:us-east-1:480699501737:alarm:awsrds-blueraven-prod-pg-High-CPU-Utilization,cloudwatch:alarm,us-east-1,480699501737,2023-12-15T01:52:31Z,cloudwatch,-,(not tagged),(not tagged),(not tagged)
albatross-prod-cluster/8c15bc1c5df74dacb24ab664f1e721c4,arn:aws:ecs:us-east-1:480699501737:task/albatross-prod-cluster/8c15bc1c5df74dacb24ab664f1e721c4,ecs:task,us-east-1,480699501737,2023-12-11T18:32:55Z,ecs,2,brs-portal-api-prod,albatross-prod-cluster,(not tagged)
albatross-imgproxy-cluster/f35af2f23ba3457bb8f3609b6f8d9424,arn:aws:ecs:us-east-1:480699501737:task/albatross-imgproxy-cluster/f35af2f23ba3457bb8f3609b6f8d9424,ecs:task,us-east-1,480699501737,2023-12-12T17:58:12Z,ecs,2,albatross-non-prod-imgproxy,albatross-imgproxy-cluster,(not tagged)
eni-08448944bd400ff53,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-08448944bd400ff53,ec2:network-interface,us-east-1,480699501737,2023-12-13T13:59:32Z,ec2,2,brs-epc-api-prod,albatross-prod-cluster,(not tagged)
grafana-fargate-cluster/ba6b27b5d9d144d4b4225f7dbf801bde,arn:aws:ecs:us-east-1:480699501737:task/grafana-fargate-cluster/ba6b27b5d9d144d4b4225f7dbf801bde,ecs:task,us-east-1,480699501737,2023-12-15T01:11:41Z,ecs,2,grafana-fargate-service,grafana-fargate-cluster,(not tagged)
grafana-fargate-cluster/0bf546b0c90c4c1ea1bd1173d4118e69,arn:aws:ecs:us-east-1:480699501737:task/grafana-fargate-cluster/0bf546b0c90c4c1ea1bd1173d4118e69,ecs:task,us-east-1,480699501737,2023-12-15T00:31:29Z,ecs,2,grafana-fargate-service,grafana-fargate-cluster,(not tagged)
albatross-prod-cluster/59e5800543e04012b5b3e77dca32932c,arn:aws:ecs:us-east-1:480699501737:task/albatross-prod-cluster/59e5800543e04012b5b3e77dca32932c,ecs:task,us-east-1,480699501737,2023-12-13T20:31:25Z,ecs,2,brs-epc-api-prod,albatross-prod-cluster,(not tagged)
eni-0ee8e03e21684bc2f,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0ee8e03e21684bc2f,ec2:network-interface,us-east-1,480699501737,2023-12-14T17:00:43Z,ec2,2,brs-portal-web-stage,albatross-stage-cluster,(not tagged)
albatross-stage-cluster/c48a587a2008442b82bc800abb8c071a,arn:aws:ecs:us-east-1:480699501737:task/albatross-stage-cluster/c48a587a2008442b82bc800abb8c071a,ecs:task,us-east-1,480699501737,2023-12-14T19:59:26Z,ecs,2,brs-portal-api-stage,albatross-stage-cluster,(not tagged)
eni-083c203965b3294a4,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-083c203965b3294a4,ec2:network-interface,us-east-1,480699501737,2023-12-13T13:58:56Z,ec2,2,albatross-non-prod-html2pdf,albatross-html2pdf-cluster,(not tagged)
eni-06ac379d4ca4942a4,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-06ac379d4ca4942a4,ec2:network-interface,us-east-1,480699501737,2023-12-11T18:51:34Z,ec2,2,brs-epc-api-uat,albatross-uat-cluster,(not tagged)
eni-0d127bfa9f8d9a4d3,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0d127bfa9f8d9a4d3,ec2:network-interface,us-east-1,480699501737,2023-12-14T16:40:35Z,ec2,2,brs-portal-api-stage,albatross-stage-cluster,(not tagged)
eni-04dfed42cba6028e7,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-04dfed42cba6028e7,ec2:network-interface,us-east-1,480699501737,2023-12-13T03:47:58Z,ec2,2,albatross-prod-service,albatross-prod-cluster,(not tagged)
awsrds-blueraven-prod-pg-replica-High-CPU-Utilization,arn:aws:cloudwatch:us-east-1:480699501737:alarm:awsrds-blueraven-prod-pg-replica-High-CPU-Utilization,cloudwatch:alarm,us-east-1,480699501737,2023-12-15T01:52:31Z,cloudwatch,-,(not tagged),(not tagged),(not tagged)
awsrds-blueraven-prod-pg-replica-High-Replica-Lag,arn:aws:cloudwatch:us-east-1:480699501737:alarm:awsrds-blueraven-prod-pg-replica-High-Replica-Lag,cloudwatch:alarm,us-east-1,480699501737,2023-12-15T01:52:31Z,cloudwatch,-,(not tagged),(not tagged),(not tagged)
albatross-prod-cluster/b00cade7a5e142ba9388dd633c38be8b,arn:aws:ecs:us-east-1:480699501737:task/albatross-prod-cluster/b00cade7a5e142ba9388dd633c38be8b,ecs:task,us-east-1,480699501737,2023-12-13T08:50:14Z,ecs,2,albatross-prod-cron-service,albatross-prod-cluster,(not tagged)
eni-0215c1910c9b6a5c9,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0215c1910c9b6a5c9,ec2:network-interface,us-east-1,480699501737,2023-11-30T18:31:33Z,ec2,2,albatross-flux-service,albatross-flux-cluster,(not tagged)
albatross-uat-cluster/346d771b79d445549a1cbb53f2f45710,arn:aws:ecs:us-east-1:480699501737:task/albatross-uat-cluster/346d771b79d445549a1cbb53f2f45710,ecs:task,us-east-1,480699501737,2023-12-08T11:26:20Z,ecs,2,albatross-uat-service,albatross-uat-cluster,(not tagged)
eni-0c4fa984598df5d03,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-0c4fa984598df5d03,ec2:network-interface,us-east-1,480699501737,2023-12-13T03:47:58Z,ec2,2,albatross-prod-service,albatross-prod-cluster,(not tagged)
mgmt.myblueraven.com,arn:aws:iam::480699501737:oidc-provider/mgmt.myblueraven.com,iam:oidc-provider,global,480699501737,2023-12-15T01:52:34Z,iam,0,(not tagged),(not tagged),(not tagged)
eni-06aff3cbe1f5c3f75,arn:aws:ec2:us-east-1:480699501737:network-interface/eni-06aff3cbe1f5c3f75,ec2:network-interface,us-east-1,480699501737,2023-12-11T14:02:48Z,ec2,2,brs-portal-api-prod,albatross-prod-cluster,(not tagged)
albatross-stage-cluster/d77e07595f244909841ae56400178bda,arn:aws:ecs:us-east-1:480699501737:task/albatross-stage-cluster/d77e07595f244909841ae56400178bda,ecs:task,us-east-1,480699501737,2023-12-15T00:44:56Z,ecs,2,albatross-stage-service,albatross-stage-cluster,(not tagged)
grafana-fargate-cluster/10fb1b417c9f4acc9d61d7cb75e6c7d3,arn:aws:ecs:us-east-1:480699501737:task/grafana-fargate-cluster/10fb1b417c9f4acc9d61d7cb75e6c7d3,ecs:task,us-east-1,480699501737,2023-12-15T00:03:53Z,ecs,2,grafana-fargate-service,grafana-fargate-cluster,(not tagged)
albatross-stage-cluster/ae5c71e9072241edbd9616b633d3e0b6,arn:aws:ecs:us-east-1:480699501737:task/albatross-stage-cluster/ae5c71e9072241edbd9616b633d3e0b6,ecs:task,us-east-1,480699501737,2023-12-15T00:38:48Z,ecs,2,albatross-stage-cron-service,albatross-stage-cluster,(not tagged)